name	type	level	score	grade	plate
Phalanx "RS2018 edit"	s	22	965,183	aaa_p	fg
Switronic - SHORT CUT -	s	17	974,839	s	sg
Papasito (feat.  KuTiNA) - FULL SONG -	s	22	973,496	s	fg
Allegro Con Fuoco - FULL SONG -	s	18	994,635	sss	ug
Final Audition Ep. 2-X - SHORT CUT -	s	20	956,933	aaa	fg
Solitary 2 - SHORT CUT -	s	18	980,077	ss	mg
Bad Apple!! feat. Nomico - FULL SONG -	s	17	990,279	sss	tg
Harmagedon	d	24	930,000	aa_p	rg
Imprinting	d	24	961,361	aaa_p	fg
PUPA	d	21	987,023	ss_p	mg
Extravaganza	s	22	969,947	aaa_p	rg
Final Audition Ep. 1	s	21	960,632	aaa_p	mg
iRELLiA	s	22	973,086	s	fg
Dement ~After Legend~	s	21	989,524	ss_p	mg
Follow me	d	10	1,000,000	sss_p	pg
Yeo rae a	s	01	480,653	d	mg
HTTP	c	n2	942,704	aa_p	fg
DESTRUCIMATE	s	21	986,538	ss_p	mg
Stardream (feat. Romelon)	s	21	990,662	sss	mg
Jonathan's Dream	s	18	993,618	sss	sg
Violet Perfume	s	17	1,000,000	sss_p	pg
iRELLiA	d	19	995,389	sss_p	eg
Broken Karma (PIU EDIT)	s	21	969,707	aaa_p	mg
Jogging	s	18	997,813	sss_p	ug
Papa Gonzales	d	24	936,590	aa_p	tg
Allegro Con Fuoco	d	23	928,566	aa_p	rg
Dream To Nightmare	s	21	969,387	aaa_p	fg
Halloween Party ~Multiverse~	s	18	994,881	sss	ug
Barber's Madness	s	22	976,773	s_p	tg
Twist of Fate (feat. Ruriling)	s	19	998,680	sss_p	ug
Imagination	s	18	989,470	ss_p	mg
Death Moon - SHORT CUT -	d	23	963,723	aaa_p	fg
Silhouette Effect - SHORT CUT -	d	17	998,277	sss_p	ug
Mr. Larpus	s	15	982,531	ss	mg
Bee	s	17	977,551	s_p	mg
Another Truth	s	06	987,349	ss_p	sg
Neo Catharsis	d	21	960,131	aaa_p	fg
Miss S' story	s	19	997,512	sss_p	ug
Slam	s	18	979,530	s_p	mg
Cosmical Rhythm	d	19	978,796	s_p	mg
U Got Me Rocking	d	17	985,765	ss_p	mg
Utsushiyo No Kaze feat. Kana	d	20	987,015	ss_p	mg
iRELLiA	d	24	936,506	aa_p	rg
Just Hold On (To All Fighters)	d	22	946,893	aa_p	tg
Anguished Unmaking	d	22	960,023	aaa_p	tg
MURDOCH	d	20	997,268	sss_p	ug
Barber's Madness	s	18	1,000,000	sss_p	pg
Fly high	s	18	999,162	sss_p	ug
GOOD NIGHT	s	23	950,630	aaa	fg
Jupin	s	23	950,975	aaa	fg
Spray	d	19	984,844	ss	tg
Timing	s	18	997,602	sss_p	ug
After LIKE	s	18	996,355	sss_p	sg
Amor Fati	s	18	997,759	sss_p	ug
MilK	s	20	969,208	aaa_p	tg
Energy Synergy Matrix	s	20	984,824	ss	mg
WHISPER	s	19	988,277	ss_p	mg
Curiosity Overdrive	d	22	974,609	s	tg
Versailles	d	23	955,468	aaa	fg
Yo! Say!! Fairy!!!	d	22	952,026	aaa	rg
Yog-Sothoth	s	21	958,189	aaa	tg
KUGUTSU	s	18	995,185	sss_p	eg
GOODTEK	s	18	999,600	sss_p	ug
Galaxy Collapse	s	18	975,377	s_p	mg
Energy Synergy Matrix	s	18	996,424	sss_p	ug
Halcyon	s	18	996,241	sss_p	ug
Amphitryon	s	18	995,728	sss_p	ug
Gothique Resonance	s	18	996,331	sss_p	ug
Mental Rider	d	24	946,903	aa_p	rg
Nxde	s	16	998,561	sss_p	ug
CO5M1C R4ILR0AD	s	18	992,704	sss	ug
V3	d	24	956,852	aaa	fg
Rock the house - SHORT CUT -	s	18	996,038	sss_p	eg
Accident	d	20	985,455	ss_p	sg
Tales of Pumpnia	s	20	995,001	sss_p	mg
R.I.P	s	22	963,892	aaa_p	fg
GOODBOUNCE	s	20	993,336	sss	mg
Energy Synergy Matrix	d	22	978,580	s_p	mg
STORM	d	19	993,416	sss	eg
Lohxia	d	22	962,343	aaa_p	fg
VECTOR	s	22	955,479	aaa	fg
Neo Catharsis	s	22	971,266	s	mg
Etude Op 10-4	s	22	951,473	aaa	fg
Crossing Delta	s	20	989,165	ss_p	sg
STORM	s	17	998,332	sss_p	ug
Yeo rae a	s	13	998,215	sss_p	ug
8 6	s	16	996,510	sss_p	mg
Ugly Dee	s	17	994,973	sss	mg
Come to Me	s	17	995,683	sss_p	mg
Nakakapagpabagabag	s	19	991,266	sss	eg
Everybody Got 2 Know	s	21	994,190	sss	eg
Pop The Track - SHORT CUT -	s	18	997,696	sss_p	ug
Stardust Overdrive - SHORT CUT -	s	16	996,816	sss_p	ug
Euphorianic - SHORT CUT -	s	17	1,000,000	sss_p	pg
Lohxia	s	21	963,180	aaa_p	fg
Versailles	s	20	993,970	sss	mg
BATTLE NO.1	s	22	943,286	aa_p	tg
Do U Know That-Old School	d	20	970,091	s	mg
Caprice of DJ Otada	d	22	962,199	aaa_p	tg
Cleaner	d	20	988,118	ss_p	mg
Your Mind	d	23	952,530	aaa	rg
What Happened	d	23	946,640	aa_p	fg
Karyawisata	s	20	970,169	s	mg
Karyawisata	d	22	961,177	aaa_p	tg
GOODTEK	d	20	989,194	ss_p	eg
Bullfighter's Song	d	21	977,278	s_p	mg
Blazing	d	21	957,738	aaa	mg
Will-O-The-Wisp	d	20	960,313	aaa_p	mg
Versailles	d	20	984,225	ss	mg
Showdown	s	20	983,150	ss	mg
KUGUTSU	s	20	977,231	s_p	mg
Jupin	s	19	983,972	ss	mg
Versailles	s	19	996,572	sss_p	ug
BOCA	d	21	968,669	aaa_p	tg
Gothique Resonance	d	21	957,506	aaa	fg
VECTOR	s	18	994,382	sss	ug
Airplane	s	17	999,638	sss_p	ug
Pirate	s	17	998,721	sss_p	ug
ELEVEN	s	17	998,702	sss_p	ug
Halcyon	d	24	938,116	aa_p	rg
Rock the house	d	22	956,545	aaa	tg
Vook	d	20	980,110	ss	mg
GOODTEK	s	21	985,869	ss_p	mg
Acquire	s	20	979,449	s_p	tg
Wedding Crashers	d	19	997,612	sss_p	ug
God Mode 2.0 feat. Skizzo	d	20	983,638	ss	mg
Ice of Death	s	20	993,813	sss	mg
Headless Chicken	s	19	985,962	ss_p	mg
Neo Catharsis	s	20	993,551	sss	mg
Kokugen Kairou Labyrinth	s	20	994,220	sss	ug
Sarabande	s	20	983,887	ss	mg
8 6	s	20	999,478	sss_p	eg
MURDOCH	s	18	998,138	sss_p	sg
Nyarlathotep	s	21	917,420	aa	tg
Aragami	d	24	911,426	aa	tg
Euphorianic	d	21	958,916	aaa	tg
Lacrimosa	d	22	955,978	aaa	tg
WHISPER	d	21	980,988	ss	tg
Altale	s	21	972,669	s	fg
After LIKE	d	20	972,131	s	tg
CHAOS AGAIN	d	22	957,007	aaa	fg
VECTOR	d	24	926,966	aa_p	fg
Barber's Madness	d	19	997,796	sss_p	ug
Barber's Madness	d	23	952,545	aaa	fg
BOOOM!!	d	22	972,092	s	tg
MURDOCH	d	22	971,434	s	mg
Ghroth	d	20	986,444	ss_p	mg
Lacrimosa	s	20	978,749	s_p	mg
Euphorianic	s	16	1,000,000	sss_p	pg
Halcyon	s	20	984,461	ss	sg
R.I.P	d	24	927,387	aa_p	rg
Showdown	d	22	984,044	ss	mg
MURDOCH	s	20	996,091	sss_p	ug
CHAOS AGAIN	s	20	987,904	ss_p	mg
Bad Apple!! feat. Nomico	s	15	999,067	sss_p	ug
Wedding Crashers	s	18	990,974	sss	mg
GOODTEK	d	24	924,939	aa	fg
MilK	d	22	945,117	aa_p	rg
Beethoven Virus	d	24	932,715	aa_p	fg
CO5M1C R4ILR0AD	d	22	933,152	aa_p	tg
Skeptic	s	22	972,132	s	tg
Fires of Destiny	s	20	982,752	ss	mg
CHICKEN WING	s	20	976,091	s_p	mg
BOOOM!!	s	20	989,009	ss_p	mg
Imagination	s	19	974,369	s	mg
Nihilism - Another Ver.-	s	21	968,519	aaa_p	tg
Jupin	s	17	996,414	sss_p	ug
PRIME Opening - SHORT CUT -	c	n5	967,018	aaa_p	rg
Acquire	c	n3	985,076	ss_p	mg
Hyacinth	s	22	964,392	aaa_p	tg
Halloween Party ~Multiverse~	d	21	927,061	aa_p	mg
KUGUTSU	d	21	960,032	aaa_p	sg
Cross Over feat. LyuU	s	22	972,337	s	mg
MURDOCH	d	24	928,960	aa_p	mg
Halloween Party ~Multiverse~	s	20	958,244	aaa	mg
After LIKE	c	n2	976,248	s_p	mg
Ghroth	s	21	951,377	aaa	tg
CO5M1C R4ILR0AD	s	21	961,311	aaa_p	fg
Arirang	s	22	949,273	aa_p	rg
Teddy Bear	s	17	986,687	ss_p	ug
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI	s	16	985,795	ss_p	tg
Altale	s	18	991,228	sss	mg
Euphorianic	s	19	995,834	sss_p	mg
Halcyon	s	22	936,391	aa_p	tg
District 1	c	n3	971,348	s	rg
GOODBOUNCE	c	n2	972,981	s	tg
Teddy Bear	c	n2	974,933	s	fg
Ultimatum	s	21	963,436	aaa_p	sg
She Likes Pizza	s	21	936,346	aa_p	fg
Chase Me	s	20	911,302	aa	tg
Will-O-The-Wisp	s	19	945,898	aa_p	tg
Beautiful Liar	s	17	992,190	sss	mg
Jupin	s	21	954,005	aaa	mg